Formula,E_hull_DFT (eV/atom),E_hull_ML (eV/atom),Delta (ML - DFT)
Pr2Nd3Y6Sc,15.0757,14.6699,-0.4057
NaPmS2,22.7804,19.9625,-2.8179
Ca2W3O8,18.9093,18.2971,-0.6122
OsI3Cl,24.7242,25.066,0.3418
HfZr2SeN,78.5943,61.1142,-17.4801
Pm2Y3Hg2,28.5411,23.2776,-5.2635
HfCrPdF2,40.1216,29.5749,-10.5467
NaBe2VTe,40.6776,32.779,-7.8986
Li2(TiH3)3,1.5652,1.8422,0.277
CsNa2ThI6,26.5573,26.7398,0.1825
CrInPbF6,12.333,11.3451,-0.9879
Mg3BiRh,23.1652,20.467,-2.6982
Cr2CoSnF,14.0622,12.0264,-2.0357
CeMgBi,27.0353,29.0772,2.0419
Na3TaOs,33.1895,29.9703,-3.2192
Zr2TcMoH,60.7662,51.9472,-8.819
NbTlMo2H,46.6672,42.1746,-4.4927
CoAs3Cl,14.3208,11.4801,-2.8407
TiOsPb2,38.6003,41.3823,2.7821
CrSnPbF6,13.1411,11.9477,-1.1934
ScIrAu4,45.2541,42.2828,-2.9713
TlCuAgH6,13.2248,11.775,-1.4498
TaP2OsI,25.9827,24.2648,-1.7179
TaSbTe2Os,42.8476,40.4646,-2.383
FeAgAs,40.4887,32.4206,-8.068
PmYB,68.8435,60.0398,-8.8037
Pm2YHfAs4,29.5278,26.372,-3.1558
PPb4W,81.6328,73.162,-8.4708
PmYZnCo,32.1575,28.8532,-3.3043
NaDy2TmHg4,13.1791,14.318,1.1389
NaCrSn2F6,15.8215,14.297,-1.5246
TcNiAg4,38.1536,30.6748,-7.4787
NaTm(InBr3)2,11.6571,13.5929,1.9358
CrIrAu4,41.6118,42.1812,0.5694
ZnCoTe,27.8064,21.7108,-6.0955
NaLa2CdHg4,17.8119,13.8655,-3.9464
ZnCoTe2,31.4193,25.768,-5.6513
ZnCoTe2,31.8318,25.768,-6.0638
CaZrNi10,15.6863,14.103,-1.5833
CrIr4Cl,35.7703,36.8518,1.0815
CoAgRu4,18.6304,19.1562,0.5258
CaPmZn10,9.0939,9.6675,0.5736
Rb2CrPdF6,10.4351,8.6115,-1.8237
Tb5(HfH)2,41.5641,34.9704,-6.5937
Cd4TcNi,31.2806,28.5178,-2.7628
ZnTe2Br,26.1985,25.448,-0.7505
SiTcSe,52.1487,41.8045,-10.3442
Zn2TeBr,16.9793,16.9363,-0.0429
Cs2CrCuF6,13.6922,12.0983,-1.5939
HfTeSeN2,48.5334,37.5662,-10.9672
Ni3AsRu,17.3862,15.9429,-1.4433
TaBe,8.708,18.6953,9.9873
CsCrCuF6,7.8038,7.3815,-0.4223
ReW4Se,41.2039,43.7366,2.5327
YPbCl2,53.0416,53.0349,-0.0067
CsCrCu2F8,11.4858,11.0757,-0.4101
