Formula,E_hull_DFT (eV/atom),E_hull_ML (eV/atom),Delta (ML - DFT)
Pr2Nd3Y6Sc,15.0757,14.9141,-0.1616
NaPmS2,22.7804,19.3932,-3.3873
Ca2W3O8,18.9093,18.7091,-0.2003
OsI3Cl,24.7242,25.0466,0.3224
HfZr2SeN,78.5943,59.7753,-18.8191
Pm2Y3Hg2,28.5411,24.2573,-4.2839
HfCrPdF2,40.1216,29.6886,-10.433
NaBe2VTe,40.6776,32.6006,-8.077
Li2(TiH3)3,1.5652,1.8678,0.3025
CsNa2ThI6,26.5573,26.8058,0.2486
CrInPbF6,12.333,10.59,-1.7429
Mg3BiRh,23.1652,20.71,-2.4553
Cr2CoSnF,14.0622,11.8583,-2.2038
CeMgBi,27.0353,28.9896,1.9543
Na3TaOs,33.1895,30.5485,-2.641
Zr2TcMoH,60.7662,50.8661,-9.9001
NbTlMo2H,46.6672,41.8699,-4.7973
CoAs3Cl,14.3208,11.342,-2.9788
TiOsPb2,38.6003,41.5496,2.9494
CrSnPbF6,13.1411,11.3145,-1.8266
ScIrAu4,45.2541,42.5688,-2.6853
TlCuAgH6,13.2248,12.284,-0.9407
TaP2OsI,25.9827,24.379,-1.6037
TaSbTe2Os,42.8476,40.2371,-2.6105
FeAgAs,40.4887,33.3414,-7.1473
PmYB,68.8435,61.7625,-7.081
Pm2YHfAs4,29.5278,26.538,-2.9898
PPb4W,81.6328,72.8682,-8.7646
PmYZnCo,32.1575,29.4613,-2.6962
NaDy2TmHg4,13.1791,14.3799,1.2008
NaCrSn2F6,15.8215,14.1282,-1.6934
TcNiAg4,38.1536,32.5753,-5.5782
NaTm(InBr3)2,11.6571,13.5428,1.8857
CrIrAu4,41.6118,42.4615,0.8497
ZnCoTe,27.8064,21.7902,-6.0162
NaLa2CdHg4,17.8119,13.6703,-4.1416
ZnCoTe2,31.4193,25.5582,-5.8611
ZnCoTe2,31.8318,25.5582,-6.2735
CaZrNi10,15.6863,13.8487,-1.8376
CrIr4Cl,35.7703,37.1113,1.341
CoAgRu4,18.6304,19.4322,0.8018
CaPmZn10,9.0939,9.5463,0.4524
Rb2CrPdF6,10.4351,8.0255,-2.4097
Tb5(HfH)2,41.5641,35.2206,-6.3435
Cd4TcNi,31.2806,29.0124,-2.2682
ZnTe2Br,26.1985,25.1881,-1.0103
SiTcSe,52.1487,42.6947,-9.454
Zn2TeBr,16.9793,16.6007,-0.3786
Cs2CrCuF6,13.6922,11.6678,-2.0244
HfTeSeN2,48.5334,37.5433,-10.99
Ni3AsRu,17.3862,16.2265,-1.1597
TaBe,8.708,19.0824,10.3744
CsCrCuF6,7.8038,6.9561,-0.8477
ReW4Se,41.2039,43.8395,2.6356
