Formula,E_hull_DFT (eV/atom),E_hull_ML (eV/atom),Delta (ML - DFT)
Pr2Nd3Y6Sc,15.0757,14.6913,-0.3844
NaPmS2,22.7804,19.6207,-3.1597
Ca2W3O8,18.9093,19.0952,0.1859
OsI3Cl,24.7242,24.9915,0.2673
HfZr2SeN,78.5943,61.6963,-16.898
Pm2Y3Hg2,28.5411,24.9286,-3.6125
HfCrPdF2,40.1216,29.6184,-10.5032
NaBe2VTe,40.6776,32.5403,-8.1374
Li2(TiH3)3,1.5652,1.9637,0.3985
CsNa2ThI6,26.5573,26.934,0.3768
CrInPbF6,12.333,11.2353,-1.0976
Mg3BiRh,23.1652,20.6048,-2.5605
Cr2CoSnF,14.0622,11.9892,-2.073
CeMgBi,27.0353,29.2259,2.1905
Na3TaOs,33.1895,30.5239,-2.6657
Zr2TcMoH,60.7662,52.5956,-8.1706
NbTlMo2H,46.6672,41.2754,-5.3919
CoAs3Cl,14.3208,11.5772,-2.7436
TiOsPb2,38.6003,41.3212,2.721
CrSnPbF6,13.1411,11.5098,-1.6313
ScIrAu4,45.2541,42.5925,-2.6616
TlCuAgH6,13.2248,11.7806,-1.4442
TaP2OsI,25.9827,24.2672,-1.7155
TaSbTe2Os,42.8476,40.884,-1.9637
FeAgAs,40.4887,33.5129,-6.9758
PmYB,68.8435,61.503,-7.3405
Pm2YHfAs4,29.5278,26.1732,-3.3546
PPb4W,81.6328,74.0037,-7.6291
PmYZnCo,32.1575,29.536,-2.6215
NaDy2TmHg4,13.1791,14.4429,1.2638
NaCrSn2F6,15.8215,13.8541,-1.9675
TcNiAg4,38.1536,31.4664,-6.6871
NaTm(InBr3)2,11.6571,13.6574,2.0003
CrIrAu4,41.6118,42.1121,0.5003
ZnCoTe,27.8064,21.6619,-6.1445
NaLa2CdHg4,17.8119,14.7368,-3.0751
ZnCoTe2,31.4193,25.4916,-5.9277
ZnCoTe2,31.8318,25.4916,-6.3402
CaZrNi10,15.6863,14.1688,-1.5175
CrIr4Cl,35.7703,36.5843,0.814
CoAgRu4,18.6304,18.9245,0.2941
CaPmZn10,9.0939,9.5549,0.4611
Rb2CrPdF6,10.4351,8.7871,-1.648
Tb5(HfH)2,41.5641,34.4095,-7.1546
Cd4TcNi,31.2806,28.5266,-2.754
ZnTe2Br,26.1985,25.2045,-0.9939
SiTcSe,52.1487,41.7778,-10.3709
Zn2TeBr,16.9793,16.845,-0.1343
Cs2CrCuF6,13.6922,12.412,-1.2802
HfTeSeN2,48.5334,37.3721,-11.1613
Ni3AsRu,17.3862,15.5062,-1.8801
TaBe,8.708,18.4586,9.7506
CsCrCuF6,7.8038,7.1944,-0.6094
ReW4Se,41.2039,43.391,2.1871
YPbCl2,53.0416,53.7843,0.7427
CsCrCu2F8,11.4858,11.2417,-0.2441
LiCa4Ag,9.1107,8.6886,-0.4221
Ta3NbI,57.1125,52.8984,-4.214
SiCN,18.9355,15.8844,-3.0511
PrYGa2,8.5706,9.6131,1.0425
As(PPb)2,27.4872,26.7934,-0.6938
Sc2CrF8,9.8699,7.9415,-1.9284
Ta2OsRh,32.4423,35.655,3.2127
NaTl(CuS)2,33.2829,27.4479,-5.835
TaTeOsI2,34.8496,34.6222,-0.2275
CrNiO2F,13.7732,12.4574,-1.3158
AcInAs2,25.588,27.1639,1.5759
SnSbBr2,30.0645,27.9155,-2.149
Ta2Be,19.323,26.5186,7.1955
Pr5YTl2,13.2243,13.8752,0.6508
K3TePd,19.015,17.4929,-1.5221
MoAs2Ru,21.2681,16.7851,-4.4829
Na4Pd3,21.5772,19.7292,-1.848
PrY2Ta,34.209,30.0536,-4.1554
PrYLu2,19.8398,22.5061,2.6664
UPdRh,36.6302,35.4597,-1.1705
Na2LiCrF6,12.7907,10.7185,-2.0722
PrY2Zr,31.159,29.4083,-1.7507
Ba4SiIr,10.6936,10.626,-0.0675
Pr12Tl6Rh,15.3936,15.7032,0.3097
Mg2Bi3H2,27.3561,27.7765,0.4204
RbRu,35.531,32.8309,-2.7001
Rb3RuN,30.5762,25.9041,-4.6721
Pr12Cu6Ir,3.2179,3.1983,-0.0196
HfCdSeN2,43.9484,33.8198,-10.1286
CaScCu10,12.2205,11.0727,-1.1478
KY2Ir,21.0441,23.0252,1.9811
Tl2CrCuF6,14.6259,13.4766,-1.1493
YSiTc2Pt,90.7248,71.2134,-19.5114
La3Eu,45.8733,35.8559,-10.0173
HfSeN2F,40.9532,30.5477,-10.4054
NaPr2Y,8.9291,8.7222,-0.207
Li2MnCrF8,18.5732,15.9955,-2.5778
NaSm5Sn3,18.3041,20.4316,2.1275
LiPu2ThTe4,46.3128,46.2231,-0.0897
LaWI2,34.6587,32.2338,-2.4248
PRuW,95.692,84.293,-11.399
SrCo5H12,2.4315,3.212,0.7805
FeAg2P,33.5014,27.434,-6.0674
PRu2W,76.1864,67.1473,-9.0391
Tb2TcNi,38.6415,36.8053,-1.8362
CoMoRh,23.5708,22.317,-1.2538
Pm4Er15Tm,28.5353,29.8417,1.3064
RbZr(TeO4)2,15.7571,13.3217,-2.4353
SrBe2CrF8,9.9091,8.7813,-1.1277
TiCu2H8Rh3,15.6909,11.7288,-3.9621
SrCrNF2,17.0643,13.8433,-3.2209
Mn2Be4I,38.6922,32.7559,-5.9362
BaAlIr4,35.867,36.0365,0.1696
SrCr2CoF8,12.7898,10.5293,-2.2605
Zr2Sc2As,46.1688,38.2103,-7.9585
TeWSe,35.8072,37.0003,1.1931
PrYIr2,24.2376,27.5719,3.3343
CrSbO2F,23.7585,21.0417,-2.7168
Cu2C,20.5789,18.5546,-2.0243
Zn2CrAg,15.4696,12.7909,-2.6786
KYPb,21.9613,24.4802,2.519
As2RuPt,36.5213,27.6769,-8.8445
CrBi2RuF,31.2818,30.2234,-1.0584
Sc2NiAs,19.506,15.478,-4.028
BaCaAc4,43.8965,45.2266,1.3301
RuWO2,28.1494,24.5667,-3.5827
K2NpTe4Au,38.2192,37.6683,-0.5509
ZnCrBiF6,11.8089,10.5149,-1.294
NaTb5Hg3,14.0857,15.4336,1.3479
Sr4BeAs,17.8809,13.8248,-4.056
BaLiCa4,4.9024,5.5438,0.6414
Co3MoRh,18.1705,16.6709,-1.4996
Na3Tl5Ag,39.849,38.041,-1.8081
Pm2PrY2Tm,12.6202,16.0245,3.4042
ScWBr,20.2602,21.427,1.1668
FeOs2C,46.4646,38.9645,-7.5001
FeRe4Ir,41.7178,41.2886,-0.4292
NaSm5In3,18.9343,20.6903,1.756
CaLaZn10,11.3321,10.47,-0.8621
K3Nd(YTe3)2,27.0186,26.3863,-0.6323
FeSnC2,37.3706,28.2576,-9.113
FeSnN,12.4967,12.9571,0.4604
CsCd10In,19.6931,20.1759,0.4827
Ac2TlReO8,22.9301,23.696,0.766
CaHfI2,44.9092,34.4562,-10.4531
PmPr2(YAs2)3,9.6231,10.5478,0.9247
Cd10InPb,22.1122,22.6298,0.5176
Tb3(SmSn2)2,17.7171,20.5037,2.7867
BeFeAg2,25.2543,18.4823,-6.772
SrCa3(SeO3)4,23.5764,20.9896,-2.5868
AlSiN5,1.3348,3.7408,2.406
Mn2IrN,43.1364,40.5992,-2.5372
SiRh,24.9422,22.8105,-2.1317
Ta2CrOs,56.6308,50.286,-6.3448
Cs3Rb5Na,11.8891,11.0296,-0.8595
CaTcMo4,26.9012,27.1634,0.2622
Rb3PrY2O6,15.5985,12.6861,-2.9124
Ho2Hf(SeN)2,40.9744,33.4639,-7.5106
Al3Tc,0.0,1.1262,1.1262
CaBeIrO5,9.3035,11.2806,1.9772
LiRhPb2,34.65,34.3113,-0.3387
Sc2CdPdC,24.4596,19.869,-4.5906
AlTc3,71.6108,59.7083,-11.9025
CaHgBr4,4.5863,6.7204,2.1341
La5TbPrY2,29.8983,22.6216,-7.2767
Re4TcNi,56.4617,48.6098,-7.852
CaNdBr4,10.9374,11.5918,0.6544
RbNaCdTe2,25.1901,23.3322,-1.8579
TbPr2Y5Th,12.1743,14.12,1.9457
Ca2TaOs,22.8399,26.0109,3.171
CePrCo10,9.0438,9.9839,0.9401
Ni2AgAs2,23.3298,17.363,-5.9668
Nd3HfPb5,47.8109,45.5076,-2.3034
SrTi4(PO4)6,6.9069,6.6219,-0.285
CrSe4Cl,38.5283,31.171,-7.3573
PrNd15Er4,24.1332,25.3174,1.1842
Ca2SbO,36.5573,31.6811,-4.8762
CaCu2W,17.136,17.297,0.1611
NaSi2AgSe,27.3129,20.2436,-7.0693
CaCu2W,16.613,17.297,0.6841
Sc2CdTcC,67.074,54.0828,-12.9912
LaFeW2,36.4201,32.8638,-3.5563
MnCoBr,41.3857,33.1428,-8.2429
CaScOF2,53.7612,47.1175,-6.6437
HfSeIN2,46.2496,34.5397,-11.7099
CrAgRh,29.9844,23.3976,-6.5868
SrVSi3,40.14,28.0743,-12.0657
CoRe2Rh,34.2817,34.6151,0.3334
Cr2Co2Os,6.5517,10.3925,3.8408
CoReRh3,40.1338,32.2586,-7.8752
SrCa2PdO,26.1216,23.3455,-2.7762
CaZr2PbO,67.8241,59.5325,-8.2916
AlBi2F,40.5415,38.9752,-1.5663
Tl4CuTc,51.5535,49.1492,-2.4043
TcNiRu4,27.8631,27.6213,-0.2419
CoRu4Pb,22.7721,23.6259,0.8538
LiLa2Fe,43.0261,33.5523,-9.4738
YGe2Au,16.8332,18.3832,1.55
LaPr4Y3S8,31.7708,23.1429,-8.628
La4ScPb,44.2408,35.3527,-8.888
Sc2CdRe,41.3574,35.0097,-6.3477
CaCeRu,15.3373,17.899,2.5617
ErTm4Sc15,11.4539,12.8173,1.3633
CaAcCu4,17.2307,17.5939,0.3632
Pm2ZrSc,39.8443,36.099,-3.7453
Na2IrPdBr,25.0516,23.3785,-1.6731
Cs2HfGa2,40.2304,32.2364,-7.994
GePt,21.566,18.4197,-3.1463
Na2LaInBr6,17.4762,16.4498,-1.0263
V2BMo2,49.0822,41.7116,-7.3706
SrCaGe4,0.0,-0.0,-0.0
PrY2Cu3,24.604,19.1562,-5.4478
Ta2As,18.1108,27.4984,9.3877
Ti4Sn2Au3,35.7323,27.1687,-8.5636
PmNd5Tm3,22.5376,25.1465,2.609
Tb3Nd5Sm,21.1679,23.2796,2.1117
Er3NiSn3,19.9008,21.4567,1.5559
CeSmY,21.3293,24.3741,3.0447
Zn2CrAu,19.4732,19.3175,-0.1557
KCa9Mn(PO4)7,21.6568,17.4247,-4.2321
Pr15Er4Sc,2.63,3.7109,1.0809
Nd5Sm3Ho,20.973,23.6355,2.6624
Nd5SmHo3,21.7651,23.9033,2.1382
H4PbI3N,2.4392,5.1146,2.6754
Co2(Ni7B2)3,9.9992,10.0416,0.0424
CoOs2Ru,26.62,31.7631,5.1431
Hf4Os3Ru,88.813,69.4478,-19.3652
Ta2OsPb,42.2823,45.9504,3.6681
CaAcGa4,16.6545,18.5483,1.8937
CaDyGa4,10.462,12.4411,1.9791
NiPb3Au,43.0859,43.8905,0.8046
CaRuO2F,27.6013,23.4259,-4.1754
InRe2P,46.6775,42.2734,-4.4041
NiPbAu2,38.5759,41.6673,3.0914
NaCoIr2,24.3234,28.9129,4.5895
Ca2Zn(IO)2,32.6773,30.4587,-2.2187
Ni2RhAu,27.3302,25.8426,-1.4876
Cu4RuCl,9.381,10.064,0.6829
FeMo,18.0531,13.9447,-4.1084
Al2BiF,31.3302,29.6554,-1.6748
Na4SiSe4,29.3698,22.5413,-6.8285
NaPbI2,30.3728,29.9742,-0.3986
Sc4GaPd,11.2171,11.0969,-0.1202
TlIr2,46.5122,49.2405,2.7282
Pr3Nd2Y,4.62,6.8788,2.2588
NdYHo2,23.801,26.8392,3.0382
PuBi2Pb,58.4239,60.3647,1.9408
Pm5NdIr3,23.8623,28.15,4.2877
SrMnRu4,30.0627,28.8512,-1.2115
Th2Zn4Ga3Au,23.0793,24.5885,1.5091
AcPrGd,29.724,32.4847,2.7608
SiPt,33.1934,24.8378,-8.3556
CaTbIn4,18.1152,19.9495,1.8342
AgC,14.7851,8.7687,-6.0164
Pr3Nd4YTe8,26.3583,25.8544,-0.504
ScIn3Br,18.5184,16.5992,-1.9193
K(YGe)2,15.078,12.846,-2.232
SrNbBr2,46.3157,38.5376,-7.7781
TaSbTe2Os,43.007,40.884,-2.1231
Nb3BiBr,99.1957,81.2457,-17.95
BePbAu4,40.6162,42.1397,1.5234
AcPrGd,29.7761,32.4847,2.7086
CuIrPt2,51.8031,43.008,-8.7952
CaMn2Cu3(RuO6)2,37.5639,33.7831,-3.7808
Ca2ZnFe(SiO3)4,17.0413,14.4466,-2.5946
NaPr2(YTe2)3,24.9156,23.7318,-1.1838
Sm3Au,30.405,33.0678,2.6628
Sc2BIr,14.2846,15.0547,0.7702
Sm2Au,31.9476,34.8787,2.9311
Ba3SmRu2O9,0.0,0.0,0.0
Ti4V2Pd3,36.5245,32.1088,-4.4158
